numero_processo,data_movimento,descricao_movimento
00502619320218060032,29/01/2022,Migração SAJ PJe Migrado para o PJe
00502619320218060032,16/11/2021,Juntada de Petição Nº Protocolo: WAMT.21.00395937-7 Tipo da Petição: Parecer do Ministério Público Data:  15:33
00502619320218060032,30/09/2021,Certidão emitida
00502619320218060032,30/09/2021,"Expedição de Ato Ordinatório Conforme disposição expressa nos arts. 129 a 133 do Provimento nº 02/2021, publicado às fls. 24/99 do DJ-e que circulou em 28/01/2021, emanado da Corregedoria Geral da Justiça do Estado do Ceará, para que possa imprimir andamento ao processo, diante do termo de audiência acostado nos autos, abro vistas ao Ministério Público requerer o que entender cabível."
00502619320218060032,30/09/2021,Expedição de Termo de Audiência
00502619320218060032,01/09/2021,Expedição de Mandado Mandado nº: 032.2021/001444-3 Situação: Cumprido - Ato negativo em 17/09/2021 Local: Oficial de justiça - FRANCISCO AIRTON SOUSA MARTINS
00502619320218060032,23/08/2021,Audiência Designada Preliminar Data: 30/09/2021 Hora 14:00 Local: Sala de Audiência Situacão: Não Realizada
00502619320218060032,03/08/2021,Juntada de Petição Nº Protocolo: WAMT.21.00395618-1 Tipo da Petição: Parecer do Ministério Público Data:  08:13
00502619320218060032,22/07/2021,Certidão emitida
00502619320218060032,22/07/2021,Juntada de documento
00502619320218060032,30/06/2021,Proferido despacho de mero expediente Atenda-se a SDVU o requerido pelo Ilustre Representante do Ministério Público às fls. 15.
00502619320218060032,29/06/2021,Concluso para Despacho
00502619320218060032,16/06/2021,Juntada de Petição Nº Protocolo: WAMT.21.00395484-7 Tipo da Petição: Parecer do Ministério Público Data:  16:45
00502619320218060032,11/06/2021,Certidão emitida
00502619320218060032,11/06/2021,"Expedição de Ato Ordinatório Conforme disposição expressa na Portaria nº 01/2021, emanada da Diretoria do Fórum de Amontada, abro vista dos presentes autos ao Representante do Ministério Público."
00502619320218060032,12/05/2021,Processo Distribuído por Sorteio
00507495820218060158,20/11/2021,Migração SAJ PJe Migrado para o PJe
00507495820218060158,19/05/2021,"Proferido despacho de mero expediente Autos recebidos neste juízo, por redistribuição, após a especialização da unidade judiciária, em consonância com a Resolução do Tribunal Pleno nº 07/2020 (DJe do dia 17/09/2020) e com a Portaria nº 724/2020 (DJe do dia 18/12/2020). Atenda-se a cota ministerial de fls. 17. Designe-se a secretaria data breve e oportuna para a realização de audiência para oferta da transação penal."
00507495820218060158,17/05/2021,Concluso para Despacho
00507495820218060158,13/05/2021,Juntada de Petição Nº Protocolo: WRUS.21.00396136-3 Tipo da Petição: Parecer do Ministério Público Data:  14:14
00507495820218060158,13/05/2021,Certidão emitida
00507495820218060158,13/05/2021,"Expedição de Ato Ordinatório Conforme disposição expressa no Provimento nº 02/2021, publicado às fls. 24/99 do DJ-e que circulou em 28/01/2021, emanado da Corregedoria Geral da Justiça, para que possa imprimir andamento ao processo, esta secretaria encaminhará os presentes autos ao Ministério Público."
00507495820218060158,10/05/2021,Juntada de Petição Nº Protocolo: WRUS.21.00168029-4 Tipo da Petição: Petições Intermediárias Diversas Data:  17:55
00507495820218060158,10/05/2021,Processo Distribuído por Sorteio
02800196420218060055,02/04/2024,Arquivado Definitivamente
02800196420218060055,02/04/2024,Certidão emitida
02800196420218060055,02/04/2024,Transitado em Julgado
02800196420218060055,08/03/2024,Certidão emitida
02800196420218060055,26/02/2024,Certidão emitida
02800196420218060055,23/01/2024,Certidão emitida
02800196420218060055,23/01/2024,Certidão emitida
02800196420218060055,23/01/2024,Certidão emitida
02800196420218060055,22/01/2024,"Extinta a punibilidade por cumprimento da transação penal ANTE O EXPOSTO, declaro extinta a punibilidade do agente. Certificado o trânsito em julgado pela Secretaria Judicial, arquivem-se os autos com sua consequente baixa. Publique-se. Registre-se. Intime-se. Dê-se ciência ao representante do Ministério Público. Cumpra-se."
02800196420218060055,22/01/2024,Concluso para Sentença
02800196420218060055,22/01/2024,Concluso para Decisão Interlocutória
02800196420218060055,22/01/2024,Juntada de Petição Nº Protocolo: WCND.24.01300248-5 Tipo da Petição: Parecer do Ministério Público Data:  08:25
02800196420218060055,18/01/2024,"Expedição de Ato Ordinatório Conforme disposição expressa nos arts. 129 a 133 do Provimento nº 02/2021, publicado às fls. 24/99 do DJ-e que circulou em 28/01/2021, emanado da Corregedoria Geral da Justiça do Estado do Ceará, para que possa imprimir andamento ao processo, à vista da certidão retro, dê-se vista dos presentes ao Ministério Público, para manifestação, no prazo de 5 (cinco) dias. Exp. Nec."
02800196420218060055,18/01/2024,Certidão emitida
02800196420218060055,18/01/2024,Certidão emitida
02800196420218060055,22/03/2023,"Proferido despacho de mero expediente Vistos. Processo incluído na meta 10 do CNJ. Trata-se de Ação Penalproposta pelo Ministério Público do Ceará, em desfavor de José Monteiro de Souza, cujo objetivo é a apuração do possível cometido da infração penal do artigo 29, da Lei de Crimes Ambientais. Reitera-se o Despacho constante à fl. 64. Determino à Secretaria que proceda, com a maior brevidade possível, a juntada da certidão requerida pelo Ministério Público (fl. 63), em consideração que o processo se encontra na meta supramencionada, abrindo-se vistas ao Parquet, logo em seguida. Após, voltem os autos conclusos. Expedientes necessários. Canindé (CE), 15 de março de 2023. LUCIANO NUNES MAIA FREIRE Juiz de Direito"
02800196420218060055,15/03/2023,Conclusos
02800196420218060055,08/03/2023,Conclusos
02800196420218060055,13/12/2022,"Proferido despacho de mero expediente Proceda-se a Secretaria conforme requer o Parquet à pág. 63. Com a juntada da certidão, abra-se vista ao Ministério Público, oficiante desta Unidade Jurisdicional, para fins de manifestação. Após, voltem os autos conclusos. Expedientes necessários. Canindé, 13 de dezembro de 2022. FRANCISCO HILTON DOMINGOS DE LUNA FILHO Juiz"
02800196420218060055,07/12/2022,Concluso para Despacho
