numero_processo,data_movimento,descricao_movimento
00505034220208060176,30/01/2022,Migração SAJ PJe Migrado para o PJe
00505034220208060176,03/09/2021,Certidão emitida
00505034220208060176,02/09/2021,Expedição de Mandado
00505034220208060176,30/06/2021,"Homologada a Transação Em face da presença dos requisitos exigidos pelo artigo 76, § 2°, da lei 9099/95, bem assim ao lume da anuência do(a) autor(a) do fato, HOMOLOGO por sentença a fim de que surtam os seus jurídicos e legais efeitos, a proposta de transação penal nos exatos moldes do termo de audiência de fl. 23. Por fim, foi nomeado o advogado dativo Eduardo Vasconcelos Barros (OAB/CE 34.864) apenas para a audiência preliminar de transação penal (cf. termo de audiência de fl. 23), assim, arbitro os honorários do advogado dativo no valor de R$ 200,00 (duzentos reais), a serem pagos pelo Estado do Ceará, em atenção ao disposto no artigo 22, §1º da lei 8.906/94 (Estatuto da OAB). Publique-se. Registre-se. Intime-se. Após, aguarde-se o cumprimento da transação penal. Expedientes necessários."
00505034220208060176,30/06/2021,Concluso para Despacho
00505034220208060176,29/06/2021,Expedição de Termo de Audiência
00505034220208060176,25/05/2021,Certidão emitida
00505034220208060176,25/05/2021,Expedição de Mandado Mandado nº: 176.2021/001258-2 Situação: Distribuído em 06/09/2021 Local: Oficial de justiça - JOÃO PAULO DOS SANTOS
00505034220208060176,21/05/2021,"Proferido despacho de mero expediente Designo audiência preliminar de eventual proposta de transação penal/composição de danos cíveis, para o dia 29 de junho de 2021, às 10:30 horas, a se realizar virtualmente através do link: https://meet.google.com/ipe-komo-yao. Intime(m)-se o(a)(s) suposto(a)(s) autor(a)(es) do(s) fato(s) e a(s) vítima(s), se houver, para comparecer(em) acompanhado(s) de advogado(s). Caso já tenha(m) advogado(s) constituído(s) nos autos, deve(m) também ser(em) intimado(s). Notifique-se o Parquet. Expedientes necessários."
00505034220208060176,21/05/2021,Audiência Designada Preliminar Data: 29/06/2021 Hora 10:30 Local: Sala de Audiência Situacão: Realizada
00505034220208060176,10/05/2021,Conclusos
00505034220208060176,06/05/2021,Concluso para Despacho
00505034220208060176,19/04/2021,"Proferido despacho de mero expediente Vistos em inspeção interna (Portaria nº 02/2021). Cumpra-se o despacho de fl. 17, designando a audiência preliminar. Expedientes necessários."
00505034220208060176,16/04/2021,Concluso para Despacho
00505034220208060176,30/11/2020,Concluso para Despacho
00505034220208060176,27/10/2020,"Proferido despacho de mero expediente Cuida-se de TCO para apurar a suposta prática de infração penal prevista no art. 29, caput, da Lei 9.605/98, pelo autor do fato André Fernandes dos Santos. Designo audiência preliminar de eventual proposta de transação penal/composição de danos cíveis (art.70 da Lei 9.099/95). Intime(m)-se o(a)(s) suposto(a)(s) autor(a)(es) do(s) fato(s) e a(s) vítima(s), se houver, para comparecer(em) acompanhado(s) de advogado(s). Caso já tenha(m) advogado(s) constituído(s) nos autos, deve(m) também ser(em) intimado(s). Notifique-se o Parquet. Expedientes necessários."
00505034220208060176,27/10/2020,Concluso para Despacho
00505034220208060176,26/10/2020,Juntada de Petição Nº Protocolo: WUBJ.20.00396066-8 Tipo da Petição: Parecer do Ministério Público Data:  16:26
00505034220208060176,21/10/2020,Certidão emitida
00505034220208060176,21/10/2020,"Expedição de Ato Ordinatório Conforme disposição expressa no Provimento nº 01/2019, publicado às fls. 12/16 do DJ-e que circulou em 10/01/2019, emanado da Corregedoria Geral da Justiça, para que possa imprimir andamento ao processo. Vista ao M. P."
00505034220208060176,21/10/2020,Juntada de Certidão de antecedentes criminais
00505034220208060176,01/09/2020,"Proferido despacho de mero expediente Visto em inspeção interna (Portaria nº 09/2020) Junte-se aos autos a certidão de antecedentes criminais do autor do fato. Após, abra-se vista ao Ministério Público."
00505034220208060176,24/08/2020,Concluso para Despacho
00505034220208060176,21/08/2020,Processo Distribuído por Sorteio
00503048220208060123,09/04/2024,Certidão emitida
00503048220208060123,09/04/2024,Arquivado Definitivamente
00503048220208060123,09/04/2024,Transitado em Julgado
00503048220208060123,01/04/2024,Juntada de Petição Nº Protocolo: WMER.24.00410266-9 Tipo da Petição: Parecer do Ministério Público Data:  17:33
00503048220208060123,01/04/2024,Certidão emitida
00503048220208060123,12/03/2024,"Extinta a punibilidade por prescrição DISPOSITIVO DEVIDO O EXPOSTO, objetivando impedir que a máquina judiciária continue a ser movimentada sem a menor utilidade, face à ineficácia final, pois o Estado, repito, perdeu o interesse de agir previsto no artigo 395, II, do Código de Processo Penal Brasileiro, DECLARO EXTINTA A PUNIBILIDADE dos acusados ONEZIO CARLOS DINIZ e FRANCISCO MANOEL PIRES, com lastro no artigo 107, IV do Código Penal quanto ao crime do art. 32 da Lei 9.605/98."
